split,y_true,y_pred
train,56.0,50.26475112574175
train,61.0,59.62409884138064
train,54.0,62.36714857109788
train,54.0,62.769652962437874
train,63.0,47.77040007884502
train,61.0,58.604207599366056
train,24.0,29.98971006103526
train,24.0,22.565380505132325
train,61.0,62.62475257501414
train,63.0,51.08473674580364
train,68.0,56.361138267012734
train,24.0,28.85704598262685
train,54.0,54.460124480515134
train,38.0,48.942678991180195
train,50.0,52.41106973307118
train,46.0,51.35384442950641
train,54.0,56.92974638456258
train,59.0,31.097584486073725
train,54.0,56.489401203129155
train,56.0,50.6845059274125
train,54.0,55.75933973663594
train,68.0,57.524393847037075
train,34.0,42.23007922142376
train,24.0,26.082906055490557
train,50.0,51.02251805762336
train,24.0,24.524744205479145
train,48.0,51.75847643599211
train,44.0,42.87087733370529
train,18.0,24.51134276490621
train,61.0,59.90417115396296
train,63.0,49.58784279532192
train,54.0,59.43472212821837
train,24.0,20.07823836886498
train,52.0,54.895911531793615
train,18.0,46.674817800079836
train,44.0,39.788896672784034
train,15.0,29.058995368885377
train,36.0,41.07565378146569
train,59.0,35.69440066836926
train,24.0,21.52750793040503
train,24.0,22.791724737222328
train,34.0,34.049567684112084
train,59.0,54.82987207180659
train,24.0,20.092275378673087
train,38.0,37.56429355660711
train,24.0,23.526360705970184
train,61.0,58.2325720753634
train,61.0,48.089968164767505
train,56.0,57.43160566023334
train,38.0,37.08458849395299
train,56.0,55.395009930814155
train,61.0,58.20347552974775
train,44.0,42.65667170191628
train,48.0,51.83677494936552
train,54.0,60.95846415543669
train,68.0,59.067501876183556
train,54.0,63.4956051506159
train,61.0,58.20522774087727
train,24.0,30.369176390473903
train,42.0,43.03619929845861
train,38.0,29.870155179823065
train,63.0,51.207986062272234
train,48.0,56.39724220003598
train,52.0,55.3705040259557
train,15.0,21.11801359055381
train,15.0,31.844299057026923
train,63.0,53.25246824832513
train,68.0,40.61512472744013
train,36.0,52.047240689499915
train,52.0,52.60942448849208
train,36.0,43.39403085908301
train,54.0,49.56796538622387
train,46.0,39.60059028482001
train,68.0,62.028509124828936
train,50.0,53.267755620589774
train,56.0,50.26974800798016
train,44.0,42.51238125780909
train,18.0,16.47909503373902
train,48.0,49.232488598333575
train,63.0,49.08388274594379
train,36.0,25.64342079046371
train,15.0,23.63501828683505
train,61.0,59.91331013334694
train,34.0,35.46551187389796
train,15.0,34.43823559976103
train,59.0,38.72959975753103
train,63.0,54.45967896518236
train,36.0,45.326368548162705
train,54.0,62.05113296864182
train,24.0,23.012937288261092
train,46.0,49.06872056445145
train,54.0,43.722459903353695
train,59.0,59.08328239018326
