,temperature,mag_mean,mag_var,mag_rms,mag_energy_total,mag_max,mag_min,mag_percentile_1,mag_percentile_5,mag_percentile_25,mag_percentile_50,mag_percentile_75,mag_percentile_95,mag_percentile_99,mag_dynamic_range_linear,mag_dynamic_range_db,mag_entropy,mag_entropy_normalized,mag_kurtosis,mag_excess_kurtosis,mag_skewness,phase_circular_mean,phase_circular_variance,phase_coherence,phase_unwrap_m_mean,phase_unwrap_m_var,phase_unwrap_m_slope_mean,phase_unwrap_m_slope_var,phase_unwrap_m_slope_rms,phase_unwrap_k_mean,phase_unwrap_k_var,phase_unwrap_k_slope_mean,phase_unwrap_k_slope_var,phase_unwrap_k_slope_rms,phase_jump_m_mean_abs,phase_jump_m_var_abs,phase_jump_m_max_abs,phase_jump_m_rms_abs,phase_jump_k_mean_abs,phase_jump_k_var_abs,phase_jump_k_max_abs,phase_jump_k_rms_abs,pdp_los_peak_power,pdp_los_peak_idx,pdp_total_energy,pdp_papr_linear,pdp_mean_delay,pdp_rms_delay_spread,pdp_los_ratio,svd_sigma_1,svd_sigma_2,svd_sigma_ratio,svd_energy_ratio_mode1,svd_spectral_flatness,dH_dt_mean,dH_dt_max,doppler_variance_energy,doppler_centroid,doppler_spread
mag_percentile_50,0.16127483029169315,0.9996862339576358,0.8265856637959336,0.9996821599498794,0.9574153163555867,0.9853279620848855,0.00596159384659275,0.9608851461701133,0.9739012140343991,0.995096992607996,1.0,0.9982281074640255,0.9951981746396807,0.9923931758949964,0.9770802591263119,-0.32635037344427664,0.29241183530391374,0.2924118353038943,-0.02613999054352871,-0.026139990543528564,-0.675551869141293,0.0009301065381301196,0.7207131446931153,-0.7207131446933844,-0.010672335188977818,-0.9113061069968503,0.005780478351824358,-0.906638347340982,-0.8632474333222422,-0.9138850391926902,0.9093972110812929,-0.9125211019080814,-0.9065232339185055,-0.8987728925415882,-0.8833237001416031,-0.8940287781806909,0.047998700877184906,-0.8632474333222423,-0.9087989559458786,-0.8922953490952218,0.04976725978580881,-0.8987728925415887,0.9716075259850201,-0.7108412009972177,0.9574153163555867,0.8352657256659611,-0.9046764690385515,-0.8098909000870252,0.8352657249016835,0.9976592405613414,0.7516062220724752,0.38616115597583467,0.9046967426802175,-0.593893327268237,0.2564777522867856,0.545625484250082,0.25635050380219254,-0.00726390262594974,-0.0014332796496395867
mag_percentile_75,0.1556408412895503,0.9982547905146182,0.847140254067142,0.9988398880344233,0.9582036911991128,0.9882999530627291,0.008341866758423877,0.960738979297971,0.9668986331216266,0.988577233400777,0.9982281074640255,1.0,0.998785991134482,0.9966894475272737,0.9798676915251868,-0.3257930026490802,0.3342960329690916,0.3342960329690708,-0.030304330209755852,-0.030304330209755714,-0.6499702610640508,0.0039040350353809605,0.7199022971907338,-0.7199022971909879,-0.009981182639430871,-0.9069468886472728,0.006060915453346926,-0.90219146189493,-0.8584166241106886,-0.9094718187932997,0.90494212620394,-0.9081062732163595,-0.902056793248026,-0.8942065987025627,-0.8785663213498954,-0.8894306015232392,0.04649514961630917,-0.8584166241106885,-0.9043865540842462,-0.8876102573653557,0.04905515714252514,-0.894206598702562,0.9707769603489559,-0.707190315038592,0.9582036911991062,0.8303979851753658,-0.9001549214773668,-0.8045189466894869,0.8303979843987253,0.9957408024822209,0.7606608747404203,0.3769873885259438,0.9001997928923401,-0.5880238516117332,0.270533218097437,0.5630089849003148,0.2704079284482956,-0.00787130152333839,-0.0020075642540476686
mag_percentile_95,0.16816086289585935,0.9954280628749064,0.8694473937961668,0.9964954616191274,0.9660308072672705,0.9926338096388259,-0.013659411005870481,0.9555754065846958,0.9564216371731964,0.9833945782409005,0.9951981746396807,0.998785991134482,1.0,0.9994484873632552,0.9856542427045615,-0.299283233145842,0.35413128317650755,0.3541312831764869,-0.032616613166309066,-0.03261661316630895,-0.6236825710982009,0.008939559000209402,0.7094854795276202,-0.709485479527888,-0.010049681171815093,-0.8893136919452791,0.006482185056485525,-0.8840994414539052,-0.8374190197162362,-0.8918550084098389,0.8869834556684686,-0.8904178988008724,-0.8839169477800954,-0.8754528687875618,-0.8587479985045913,-0.8704057714708366,0.07193027534064911,-0.8374190197162363,-0.8864573237333874,-0.8683368740188345,0.07449287444665958,-0.8754528687875618,0.9740644604557024,-0.6931944509769801,0.9660308072672665,0.8090552133126023,-0.8818351254815707,-0.7804681430855284,0.8090552124969279,0.9915308792017288,0.7854641716234674,0.34319595796461133,0.8819093654895889,-0.5574759192957427,0.29732320641853727,0.5927748338214931,0.2971888727296926,-0.004549608981562832,0.0006747918852813767
mag_percentile_99,0.17899149663638614,0.9926675116834354,0.8825579133843585,0.994003722866015,0.9713786730989542,0.9947952636584543,-0.03217600798311847,0.9507888152754613,0.9485677951434716,0.9797407778453716,0.9923931758949964,0.9966894475272737,0.9994484873632552,1.0,0.9890501364432641,-0.2779988289803602,0.36129414343461114,0.3612941434345907,-0.03362443942728931,-0.03362443942728913,-0.6072580597422049,0.01319098223572267,0.701006803686308,-0.7010068036865903,-0.010204729472979807,-0.8754558451594288,0.0067910114905340695,-0.8698999354771398,-0.8210237473307116,-0.8780374055543554,0.8728888743089556,-0.8765300992125228,-0.8696843113787665,-0.8607601149211517,-0.8432496977008996,-0.8555115592090485,0.09250833486401147,-0.8210237473307116,-0.8723812158499318,-0.8532584100674715,0.09493418859209754,-0.8607601149211517,0.9762286784199883,-0.6822617741631495,0.9713786730989493,0.7924295281069326,-0.8674701130261888,-0.7617667090634413,0.7924295272637021,0.9878288288007542,0.8025276322661472,0.31774903243833763,0.8675612626483699,-0.5338214004175902,0.314924751907507,0.6123867621594402,0.3147847542818768,-0.0019665140374694147,0.002730977350767678
mag_dynamic_range_linear,0.22231862596347554,0.9763264550814127,0.9052135610788227,0.9781127471038739,0.985819950093598,0.9977290016046736,-0.1511102733703041,0.9147886059952814,0.9159397363003792,0.9655098891612048,0.9770802591263119,0.9798676915251868,0.9856542427045615,0.9890501364432641,1.0,-0.16027908856194487,0.3254459675625856,0.32544596756256067,-0.019635370807162055,-0.01963537080716194,-0.5558982788595813,0.045491057963727516,0.6515385107513421,-0.6515385107517057,-0.010746398048658911,-0.8153182980610129,0.006357520263529993,-0.808675903695676,-0.7515418560254775,-0.8182688224126338,0.8121151145810592,-0.8163542359878607,-0.8083678322125778,-0.7979671842910595,-0.7774547849495003,-0.7920946640854858,0.2114427438780475,-0.7515418560254774,-0.8114947422164343,-0.7893738922459843,0.21324760134873744,-0.7979671842910591,0.9784565051564745,-0.6353329316137057,0.9858199500935886,0.7161331109247682,-0.8058436560008089,-0.6852941462992238,0.7161331099578221,0.9695275830789841,0.842331160966441,0.2115612784077871,0.8061037193713599,-0.43644698293829676,0.3482965309230221,0.660708521553522,0.34814499043045494,0.012110759194048193,0.014303805277922351
mag_dynamic_range_db,0.28056767774506597,-0.3325526241219552,0.03464892350168197,-0.32824734292812796,-0.08596307720853975,-0.22075729588770296,-0.8686997060687223,-0.46009634373813885,-0.4596186634746856,-0.3314864886454102,-0.32635037344427664,-0.3257930026490802,-0.299283233145842,-0.2779988289803602,-0.16027908856194487,1.0,-0.08601522286490246,-0.0860152228649144,0.022847801864001108,0.022847801864000924,0.581650846435696,0.2544711646918523,-0.5006005073021207,0.5006005073017094,-0.002133663515278507,0.6390027385611694,-0.0037137764277291978,0.6466358507607207,0.7019469534896435,0.6367652344139393,-0.6436535209137234,0.639231305169074,0.6472104291834766,0.6573064282257655,0.6775304495937748,0.6612717319063735,0.8681635347435891,0.7019469534896434,0.6442008268771181,0.6647522477786754,0.8644383349109044,0.6573064282257656,-0.17718104696910073,0.4974051463996224,-0.08596307720853916,-0.7468218879560691,0.6491137078056634,0.745487129254888,-0.7468218886513307,-0.33837763280943245,0.11225329955079277,-0.8926445352070943,-0.6487772296892913,0.8626093487072581,0.11176697090548941,0.10536431892320698,0.11175590821773045,0.11898555829224003,0.09296538123969769
mag_entropy,0.16365424627264896,0.2901364674011624,0.519472612077581,0.297544705509348,0.32115583704801665,0.32388234979769526,-0.06127903030373002,0.25589816564768314,0.1852567894130646,0.21971136115448325,0.29241183530391374,0.3342960329690916,0.35413128317650755,0.36129414343461114,0.3254459675625856,-0.08601522286490246,1.0,0.9999999999999829,-0.3467218384049703,-0.34672183840497023,0.07087327009972243,0.1342070594103637,0.2082048248428967,-0.20820482484305067,0.00016662422438150172,-0.22134380574605966,0.0021157033203603485,-0.21782778274311232,-0.1936883006158189,-0.22084855856013874,0.21885347937534916,-0.22112654551315347,-0.21761367351854838,-0.2127012396974487,-0.20328806397237822,-0.21037713489853307,0.004726935044034763,-0.1936883006158189,-0.2194445431636034,-0.2081565219885822,0.008471917196065973,-0.21270123969744875,0.29932121925424715,-0.1728551317619293,0.3211558370480167,0.16617845987670382,-0.21623021447061083,-0.1640777515278213,0.1661784591626618,0.2915621798450199,0.3294612341806076,-0.02437157101840682,0.2132543931145925,-0.07361434842420914,0.16230771695999524,0.2757506050919516,0.16246967759611766,-0.016804297824180418,-0.010190424737610795
mag_entropy_normalized,0.16365424627253142,0.290136467401139,0.5194726120775524,0.29754470550932494,0.3211558370479897,0.3238823497976705,-0.06127903030369978,0.2558981656476772,0.18525678941304993,0.2197113611544576,0.2924118353038943,0.3342960329690708,0.3541312831764869,0.3612941434345907,0.32544596756256067,-0.0860152228649144,0.9999999999999829,1.0,-0.3467218384049699,-0.34672183840496995,0.07087327009972784,0.1342070594103816,0.20820482484289513,-0.2082048248430501,0.00016662422438509664,-0.22134380574605056,0.00211570332036041,-0.21782778274310563,-0.19368830061581638,-0.220848558560131,0.21885347937534125,-0.22112654551314548,-0.21761367351853872,-0.21270123969744378,-0.20328806397237187,-0.2103771348985272,0.004726935044023914,-0.19368830061581632,-0.21944454316359682,-0.20815652198857476,0.008471917196057744,-0.21270123969744373,0.29932121925422417,-0.1728551317619225,0.3211558370479855,0.1661784598767056,-0.2162302144706028,-0.16407775152782295,0.16617845916266497,0.29156217984500093,0.32946123418056944,-0.024371571018395297,0.2132543931145852,-0.07361434842422099,0.162307716959973,0.27575060509193555,0.16246967759609574,-0.016804297824185462,-0.010190424737615245
mag_kurtosis,-0.00577712584776235,-0.02591545810981318,-0.052421063591219494,-0.02664757947240144,-0.032507999044235576,-0.01869936776088948,0.016049447255920384,-0.02208084647547047,-0.014279362319487999,-0.019047909834554008,-0.02613999054352871,-0.030304330209755852,-0.032616613166309066,-0.03362443942728931,-0.019635370807162055,0.022847801864001108,-0.3467218384049703,-0.3467218384049699,1.0,1.0000000000000002,0.37557191872832063,-0.011910194796096856,-0.019158189717732935,0.019158189717723716,-0.017123627990460893,0.01410265154499172,-0.015722222206704082,0.0137968702992455,0.010596554646124308,0.014267044398521245,-0.013994887857694814,0.014201316203020151,0.013803109689576501,0.01317005803133541,0.011889101156059022,0.01290784273841204,-0.012168825132488017,0.010596554646124308,0.014038931730547027,0.012586227513901775,-0.012688468318239181,0.013170058031335398,-0.029659679695821617,0.012578577119142273,-0.0325079990442354,-0.007761289286581445,0.013675233638277239,0.006879487922716051,-0.007761289255385197,-0.025850939141309117,-0.03564230363413245,0.016727765422432345,-0.004002713036036945,-0.005851229995349759,-0.01739539839365313,-0.02217901850977804,-0.017413756265391756,-0.022632050735854673,-0.03166351017708469
mag_excess_kurtosis,-0.005777125847761995,-0.025915458109813053,-0.05242106359121955,-0.02664757947240135,-0.0325079990442355,-0.01869936776088934,0.016049447255920463,-0.022080846475470362,-0.014279362319487742,-0.01904790983455384,-0.026139990543528564,-0.030304330209755714,-0.03261661316630895,-0.03362443942728913,-0.01963537080716194,0.022847801864000924,-0.34672183840497023,-0.34672183840496995,1.0000000000000002,1.0,0.37557191872832063,-0.01191019479609723,-0.019158189717732803,0.01915818971772365,-0.017123627990460934,0.014102651544991577,-0.01572222220670409,0.013796870299245367,0.010596554646124114,0.01426704439852107,-0.013994887857694645,0.014201316203020002,0.01380310968957634,0.013170058031335164,0.01188910115605888,0.01290784273841189,-0.01216882513248828,0.010596554646124103,0.014038931730546912,0.012586227513901647,-0.012688468318239334,0.013170058031335162,-0.029659679695821544,0.01257857711914213,-0.032507999044235326,-0.007761289286581258,0.013675233638277098,0.006879487922715907,-0.00776128925538504,-0.025850939141308912,-0.03564230363413228,0.016727765422432504,-0.004002713036036792,-0.005851229995349901,-0.017395398393653057,-0.022179018509778037,-0.017413756265391638,-0.022632050735854652,-0.03166351017708464
