variable,n_valid,n_nan,mean,std,min,max
phase_jump_k_rms_abs,32238,0,0.8481351805630345,0.4368855536427556,0.5909242290935596,1.8772268670661227
pdp_los_peak_power,32238,0,2.8080304069009996,1.5565859528533872,2.201905077020391e-07,5.130463966961444
pdp_los_peak_idx,32238,0,171.54448166759724,194.8557214204375,0.0,1023.0
pdp_total_energy,32238,0,4.0050708429936215,2.3575442026450704,0.0001731289903553,8.213383425000268
pdp_papr_linear,32238,0,610.383372240868,280.6540639378756,1.2580799718332043,878.3138852459911
pdp_mean_delay,32238,0,176.15611412834883,151.66254677916123,97.05532349013228,569.793479231352
pdp_rms_delay_spread,32238,0,88.32878359268503,95.92306708417505,19.72714751853437,312.2343587959823
pdp_los_ratio,32238,0,0.5960775129020698,0.2740762326531253,0.0012285971555804,0.8577284038935912
svd_sigma_1,32238,0,570.9319667487099,279.4310346767174,0.560133929912972,902.36487186306
svd_sigma_2,32238,0,8.402711594377005,6.797566448751801,0.5425204824148829,113.9440002389226
svd_sigma_ratio,32238,0,73.63730719197461,45.59212480604185,1.001128512447312,154.99279274956098
svd_energy_ratio_mode1,32238,0,0.8249203335862931,0.3644955332887499,0.0166558837735905,0.9984901685501834
svd_spectral_flatness,32238,0,0.5499392619671658,0.2270220999310912,0.2885226530273253,0.9873400445040884
dH_dt_mean,32238,0,0.12054786838723272,0.3715272079878963,0.0003454076630331,14.67581671112378
dH_dt_max,32238,0,3.449181422706999,4.180152018445266,0.0068778578527138,164.706487902273
doppler_variance_energy,32238,0,597.3072964957247,1841.2607846035894,1.7144016369270565,72817.71516406204
doppler_centroid,32238,0,0.2521903194481403,0.0022990136214901783,0.068875711944122,0.2622053249153671
doppler_spread,32238,0,0.28990510429977107,0.0017961186895463425,0.1233018313354584,0.2980477769347581
