var1,var2,r,abs_r,banda
phase_unwrap_m_slope_var,phase_jump_m_mean_abs,0.9985023211266754,0.9985023211266754,0.99 <= |r| < 1.00
mag_mean,mag_percentile_75,0.9982547905146182,0.9982547905146182,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_k_var_abs,0.998244436922791,0.998244436922791,0.99 <= |r| < 1.00
mag_percentile_50,mag_percentile_75,0.9982281074640255,0.9982281074640255,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_m_var_abs,0.9982061844317477,0.9982061844317477,0.99 <= |r| < 1.00
phase_jump_m_mean_abs,phase_jump_k_mean_abs,0.9981911628553257,0.9981911628553257,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_m_var_abs,0.9981175913053797,0.9981175913053797,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_k_var_abs,0.9980275727434162,0.9980275727434162,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_m_var_abs,0.9980083113923006,0.9980083113923006,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,phase_jump_k_var_abs,0.998004908299442,0.998004908299442,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_jump_k_var_abs,0.998004908299442,0.998004908299442,0.99 <= |r| < 1.00
phase_unwrap_k_var,phase_jump_m_mean_abs,-0.9979640433355746,0.9979640433355746,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_k_var_abs,0.9979516635076453,0.9979516635076453,0.99 <= |r| < 1.00
mag_max,mag_dynamic_range_linear,0.9977290016046736,0.9977290016046736,0.99 <= |r| < 1.00
mag_percentile_50,svd_sigma_1,0.9976592405613414,0.9976592405613414,0.99 <= |r| < 1.00
mag_mean,svd_sigma_1,0.9976434086859713,0.9976434086859713,0.99 <= |r| < 1.00
phase_jump_m_var_abs,phase_jump_m_rms_abs,0.9975340032545887,0.9975340032545887,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_jump_m_var_abs,0.9975340032545887,0.9975340032545887,0.99 <= |r| < 1.00
mag_rms,svd_sigma_1,0.9972773952488295,0.9972773952488295,0.99 <= |r| < 1.00
phase_unwrap_k_slope_mean,phase_jump_m_mean_abs,0.9972466921896816,0.9972466921896816,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_jump_k_rms_abs,0.9970387255087012,0.9970387255087012,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,phase_jump_k_rms_abs,0.997038725508701,0.997038725508701,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,phase_unwrap_k_slope_rms,0.9970387255087009,0.9970387255087009,0.99 <= |r| < 1.00
phase_unwrap_k_slope_rms,phase_jump_m_rms_abs,0.9970387255087007,0.9970387255087007,0.99 <= |r| < 1.00
phase_unwrap_k_mean,phase_jump_m_mean_abs,0.9969582377699869,0.9969582377699869,0.99 <= |r| < 1.00
phase_unwrap_m_var,phase_jump_m_mean_abs,0.9969282296546533,0.9969282296546533,0.99 <= |r| < 1.00
mag_percentile_75,mag_percentile_99,0.9966894475272737,0.9966894475272737,0.99 <= |r| < 1.00
mag_rms,mag_percentile_95,0.9964954616191274,0.9964954616191274,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,pdp_mean_delay,0.995809119062164,0.995809119062164,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,pdp_mean_delay,0.995809119062164,0.995809119062164,0.99 <= |r| < 1.00
phase_unwrap_m_slope_rms,svd_energy_ratio_mode1,-0.9957770362955566,0.9957770362955566,0.99 <= |r| < 1.00
phase_jump_m_rms_abs,svd_energy_ratio_mode1,-0.9957770362955566,0.9957770362955566,0.99 <= |r| < 1.00
mag_percentile_75,svd_sigma_1,0.9957408024822209,0.9957408024822209,0.99 <= |r| < 1.00
